Chunk #,Source Folder,Filename,Preview
11,OpenSciEd,C.5 Teacher Edition.pdf,"That is A LOT of CO  and pollution. Climate change would be worse than it already is or will keep getting worse. More polar ice melt and sea-level rise. People would have to move. More ocean acidification. Higher temperatures might be dangerous for people and might make it harder to grow food, leading to famine. What might the impacts be on human migration if average temperatures continue to increase? Who would be affected and how? What might the impacts be on the size of the human population if"
12,OpenSciEd,B.2 Teacher Edition.pdf,"5 min 5 min 10 min 5 · NAVIGATE MATERIALS: None Check in with how students are feeling. Display slide N. Say, As I mentioned earlier, learning about the impacts of these fires and the historical events that led up to them may bring up feelings for you. I want to give everyone a chance to do a social and emotional check-in about these case studies. Encourage students to take a few minutes to turn and talk with a trusted peer, write independently in their science notebooks, or think about how they"
13,OpenSciEd,B.2 Teacher Edition.pdf,"Justify all student feelings at this time. Emphasize that while increased temperature and carbon in the atmosphere are making wildfires harder to fight, we want to have hope for the future and take action. ✱ ATTENDING TO EQUITY This introductory discussion is important in order to reinforce the understanding that expertise about wildfires exists in many places and that many sources of knowledge are important in making decisions about how to manage these fires. It also addresses the nature of sci"
14,OpenSciEd,C.1 Teacher Edition.pdf,"These opportunities were built in throughout the unit. Furthermore, an important part of addressing climate anxiety is recognizing that there is hope. Lesson Sets 2 and 3 focus on helping students understand how people can work together to address the problem that humanity created by reducing carbon dioxide emissions and considering novel solutions that protect particular stretches of polar ice. What is the Learning in Places socio-ecological deliberation and decision-making framework? This unit"
15,OpenSciEd,C.3 Teacher Edition.pdf,"We could figure out new ways to recycle things better like clothes and plastics. ✱ ATTENDING TO EQUITY Learning in Places. Students will have experienced design problems that engaged them in a conservation mindset as they learned about the 30 by 30 Initiative in OpenSciEd Unit B.1: How do ecosystems work, and how can understanding them help us protect them? (Serengeti Unit). Some students may challenge the mindset and ethos around the inevitable use of resources from outer-space planetary bodies"
16,OpenSciEd,C.1 Teacher Edition.pdf,"Although energy cannot be destroyed, it can be converted to less useful forms—for example, to thermal energy in the surrounding environment. Students build the first two of these ideas as they ask questions of a computational model (SEP: 1.3) and use it to support claims (SEP: 5.2). This is students’ first assessed opportunity to ask questions about the relationships between variables in the course, although they have previously formulated hypotheses about the relationships between variables (in"
17,OpenSciEd,C.1 Teacher Edition.pdf,"National Academies of Sciences, Engineering, and Medicine 2019. Science and Engineering for Grades 6-12: Investigation and Design at the Center. Washington, DC: The National Academies Press. https://doi.org/10.17226/25216 ✱ ATTENDING TO EQUITY Social and Emotional Learning: Some students may be more susceptible to climate change anxiety. There has been research on climate change anxiety on young people that can have lasting mental health consequences. For example, see https://ww w.thelancet.com/"
18,OpenSciEd,B.2 Teacher Edition.pdf,"The world? Burning carbon sinks have a large-scale impact on the planet. We’ve had really hot summers here, and there have been some fires because of the drought. I’m concerned about this getting worse. It is scary that temperatures keep rising. I’m starting to understand how small-scale actions can have big-scale consequences. What do you think would be productive for our classroom community to investigate next? Increasing temperature and carbon are disturbing. We want to find a solution or way"
19,OpenSciEd,B.2 Teacher Edition.pdf,"These opportunities were built in throughout the unit. Feelings Wheel is one tool students are provided for processing feelings and reactions. The impact of climate change is a prominent theme in this unit. Youth feel sadness, fear, and anxiety about climate change (Hickman et al., 2021), and for students who have previously experienced trauma, this can have a compounding effect (Effects of complex trauma, NCTSN). Gislason & Kennedy (2022) suggest that offering ‘grounded hope’ in science educati"
20,OpenSciEd,C.1 Teacher Edition.pdf,"Accept all responses. 6 · TEST QUESTIONS THAT CAN BE ANSWERED USING THE MODEL MATERIALS: science notebook, https://www.openscied.org/general/earthsystemmodel/ Test the questions. Show slide I. Give students a few minutes to test their ideas with partners and record the results in their notebooks. Tell them to test more questions, even if they are not well-refined, if they have time. 7 · SHARE RESULTS FROM THE COMPUTATIONAL MODEL MATERIALS: None Discuss students’ results. Display slide J. Have as"
